Elista;Gorodov;Ketch;Lagan;Derbet;Oktyabr;Priut;Sarpin;Celin;Chernoz;Yustin;Yashalta;Yashkul;IkiBurul
101001;102001;103001;104001;105001;106001;107001;108001;109001;110001;111001;112001;113001;114001
101002;102002;103003;104002;105002;106002;107002;108002;109002;110002;111002;112002;113002;114002
101003;102003;103004;104003;105003;106004;107003;108003;109003;110003;111003;112003;113003;114003
101004;102004;103005;104004;105004;106005;107004;108004;109004;110004;111004;112004;113005;114004
101005;102005;103006;104005;105005;106006;107005;108005;109005;110005;111005;112005;113006;114005
101006;102006;103007;104006;105006;106007;107006;108006;109006;110006;111006;112006;113007;114006
101007;102007;103008;104007;105007;106008;107007;108007;109007;110007;111007;112007;113008;114007
101008;102009;103009;104008;105008;106009;107008;108008;109008;110008;111008;112008;113009;114008
101009;102012;103010;;105010;;107009;108009;109009;110009;111012;112009;113010;114009
101010;102015;103011;;;;;108010;109010;110010;111013;112010;113011;114010
101011;102017;;;;;;;109011;;;112011;113012;114011
101012;102019;;;;;;;109012;;;;113013;114012
101013;102021;;;;;;;109013;;;;113014;117000
101014;102022;;;;;;;;;;;113015;120000
101015;102023;;;;;;;;;;;113016;
101016;;;;;;;;;;;;;
101017;;;;;;;;;;;;;
101018;;;;;;;;;;;;;
101029;;;;;;;;;;;;;
101031;;;;;;;;;;;;;